Anno,Presidente,Cognome,URL
1948,Enrico De Nicola,De Nicola,NAP
1949,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/10
1950,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/13
1951,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/16
1952,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/19
1953,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/20
1954,Luigi Einaudi,Einaudi,https://presidenti.quirinale.it/elementi/21
1955,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236850
1956,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236849
1957,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236848
1958,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236847
1959,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236846
1960,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236845
1961,Giovanni Gronchi,Gronchi,https://presidenti.quirinale.it/elementi/236844
1962,Antonio Segni,Segni,https://presidenti.quirinale.it/elementi/236970
1963,Antonio Segni,Segni,https://presidenti.quirinale.it/elementi/236971
1964,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237017
1965,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237018
1966,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237020
1967,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237021
1968,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237022
1969,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237023
1970,Giuseppe Saragat,Saragat,https://presidenti.quirinale.it/elementi/237025
1971,Giovanni Leone,Leone,https://presidenti.quirinale.it/elementi/237071
1972,Giovanni Leone,Leone,https://presidenti.quirinale.it/elementi/237073
